Key,SourceString,Comment
"missionsetting_minplayers","Minimum player count",
"aisetting_maxturnrate","How quickly the AI can turn (degrees per second)",
"aisetting_maxsprintturnrate","How quickly the AI can turn while sprinting (degrees per second)",
"aisetting_suppressionrecoveryrate","How quickly the suppression value is reduced (per second)",
"aisetting_ontargetthreshold","Limit while aiming at a target to be considered 'on target' (+/- degrees)",
"aisetting_centerofmassbone","Bone that AI considers a characters center of mass for aiming purposes",
"aisetting_maxtimeontarget","How much time has to pass (in seconds) before the aim miss is set to 0 (for time deviation), deviation based on distance will always be added to this",
"aisetting_maxtimedeviation","The maximum deviation (in degrees) that is applied when the AI just spotted the player and time deviation is at its maximum",
"aisetting_maxdistancedeviation","Maximum deviation (in degrees) due to distance",
"aisetting_mindistanceforpenalty","Minimum distance for distance penalty (in cm)",
"aisetting_maxdistanceforpenalty","Maximum distance for max distance penalty (in cm)",
"aisetting_aimerrorupdateinterval","How often we should change the aim error alphas",
"aisetting_reactiontimebase","Time it takes to react to just sensed (+/- ReactionTimeRandom) in seconds",
"aisetting_reactiontimerandom","How much to randomise ReactionTimeBase by in +/- seconds",
"aisetting_maxsemiautoburst","Max amount of rounds an AI can fire off in rapid succession in semi-auto firing modes",
"aisetting_minfullautoburst","Min amount of rounds an AI can fire off in rapid succession in full-auto firing modes",
"aisetting_maxfullautoburst","Max amount of rounds an AI can fire off in rapid succession in full-auto firing modes",
"aisetting_mindelaybetweenbursts","Min delay after last shot is fired in a burst before AI can start another burst",
"aisetting_maxdelaybetweenbursts","Max delay after last shot is fired in a burst before AI can start another burst",
"aisetting_leanchance","How likely AI is to lean when able (0.0 - 1.0)",
"aisetting_tracerfrequency","AI to fire a tracer round after how many rounds? (0=default for weapon, 1=always, 2=every other round, ...)",
"aisetting_muzzleflashprobability","Probability that AI shots will have a muzzle flash (0.0 = never, 1.0 = always, -1.0 = use default)",
"gamemessage_trainingresupplynow","Killhouse round reset\r\nRemember to resupply at the weapon table",""
"MissionComplete","MISSION COMPLETE","AAR"
"MissionFailed","MISSION FAILED","AAR"
"MissionCompletePVP","VICTORY","AAR"
"MissionFailedPVP","DEFEAT","AAR"
"summary_TimeRanOut","Operation time limit reached.","AAR"
"tag_coop","Co-Op",""
"tag_pvp","PvP",""
"tag_team","Team",""
"tag_train","Training",""
"ingamemap_timeofday","Local time",
"ingamemap_timeremaining","Time remaining",
"element_alpha","Alpha",
"element_bravo","Bravo",
"element_charlie","Charlie",
"element_delta","Delta",
"missiontime_predawn","Pre dawn",
"missiontime_sunrise","Sunrise",
"missiontime_postsunrise","Post sunrise",
"missiontime_earlymorning","Early morning",
"missiontime_midmorning","Mid morning",
"missiontime_latemorning","Late morning",
"missiontime_midday","Midday",
"missiontime_earlyafternoon","Early afternoon",
"missiontime_midafternoon","Mid afternoon",
"missiontime_lateafternoon","Late afternoon",
"missiontime_presunset","Pre sunset",
"missiontime_sunset","Sunset",
"missiontime_postsunset","Post sunset",
"missiontime_evening","Evening",
"missiontime_lateevening","Late evening",
"missiontime_midnight","Midnight",
"missiontime_earlyhours","Early hours",
"missiontime_custom","Custom",
