Key,SourceString,Comment
gamemessage_BuildingAssaultSetupAttackSmallText,Take the building.,
gamemessage_BuildingAssaultSetupDefendSmallText,Defend the building.,
gamemessage_BuildingAssaultAttack,Take the building and wipe out all defenders!,
gamemessage_BuildingAssaultDefend,Defend the building from the attackers!,
gamemessage_MovedToAttackTeam,You have been moved to the attacking team to balance out teams!,
gamemessage_MovedToDefendTeam,You have been moved to the defending team to balance out teams!,
gamemessage_PlayerMovedOutOfYourTeam,One or more players were moved out of your team to balance teams,not used for now because want to display specific number of people moved
gamemessage_PlayerMovedIntoYourTeam,One or more players were moved into your team to balance teams,not used for now because want to display specific number of people moved
gamemessage_PrepareToAttack,You are an attacker — the round will begin in a moment.,
gamemessage_PrepareToDefend,You are a defender — the round will begin in a moment.,
gamemessage_YouAreAttackerRed,You are an attacker on RED team.,
gamemessage_YouAreAttackerBlue,You are an attacker on BLUE team.,
gamemessage_YouAreDefenderRed,You are a defender on RED team.,
gamemessage_YouAreDefenderBlue,You are a defender on BLUE team.,
gamemessage_LastStandActivated,Last Stand mode activated!,
gamemessage_PlayersMovedIntoTeam1,1 player was moved into your team to balance teams.,
gamemessage_PlayersMovedIntoTeam2,2 players were moved into your team to balance teams.,
gamemessage_PlayersMovedIntoTeam3,3 players were moved into your team to balance teams.,
gamemessage_PlayersMovedIntoTeam4,4 players were moved into your team to balance teams.,
gamemessage_PlayersMovedOutOfTeam1,1 player was moved out of your team to balance teams.,
gamemessage_PlayersMovedOutOfTeam2,2 players were moved out of your team to balance teams.,
gamemessage_PlayersMovedOutOfTeam3,3 players were moved out of your team to balance teams.,
gamemessage_PlayersMovedOutOfTeam4,4 players were moved out of your team to balance teams.,
gamemessage_RoundRestarted,Round will restart in a moment.,
gamemessage_CantRestartRoundNow,Restart round requested but not a valid time to do it.\r\nRequest ignored.,
gamemessage_BlueWinsMatch,BLUE TEAM wins the match!,
gamemessage_RedWinsMatch,RED TEAM wins the match!,
gamemessage_MatchIsTie,The match is a TIE!,
gamemessage_ScoresStandby,Stand by for scores…,
gamemessage_NextRoundDecider,The next round will decide a winner.,
gamemessage_NoTeamScores,No team scores awarded,
gamemessage_NoPlayerScores,No player scores awarded,
gamemessage_NoScoreForYou,No score was recorded for you,
gamemessage_KickedCosNotClicked,You are being kicked for repeatedly not selecting an insertion point. Click in next time!,
gamemessage_WarnedCosNotClicked,"You failed to select an insertion point. Next time, please click the board when others do.",
gamemessage_TeamExfil,"You need to be accompanied by at least one attacker to exfiltrate.",
gamemessage_HostageIsArmed,"Careful! You have armed yourself, and can now be killed by the defenders.",
missionsetting_autoswap_0,No,
missionsetting_autoswap_1,Yes,
missionsetting_autoswap,Auto-swap teams,
missionsetting_defendersetuptime,Defender setup time (seconds),Opsboard
missionsetting_capturetime,Capture time (seconds),Opsboard
missionsetting_balanceteams,Balance teams each round,
missionsetting_balanceteams_0,No,
missionsetting_balanceteams_1,Yes (light touch),
missionsetting_balanceteams_2,Yes (aggressive),
missionsetting_balanceteams_3,Yes (always),
missionsetting_forcehostagerescue,Force game mode,
missionsetting_forcehostagerescue_0,No,
missionsetting_forcehostagerescue_1,Hostage Rescue,
missionsetting_forcehostagerescue_2,Building Assault,
missionsetting_extractanywhere,Extract anywhere,
missionsetting_extractanywhere_0,No,
missionsetting_extractanywhere_1,Yes,
missionsetting_restrictdefenders,Restrict defenders,
missionsetting_restrictdefenders_0,No,
missionsetting_restrictdefenders_1,Yes,
missionsetting_restrictnades,Restrict grenades,
missionsetting_restrictnades_0,No,
missionsetting_restrictnades_1,Yes,
